Monster	Type	AC	HD	Save	Campaign Setting	Source	Pg. #	Edition	Legal Status	OGL Source
Adherer					Generic	Monstrous Compendium Fiend Folio Appendix (MC14)		AD&D2		
Adolescent Sea Lion					Generic	Dungeon #79	68	AD&D2		
Adonides (Duke of Hell)					Generic	Dragon #76	29	AD&D1		
Adramalech (Chancellor of Hell)					Generic	Dragon #76	34	AD&D1		
Aeraldoth, Vizier to the Caliph of the Djinn					Forgotten Realms	Oasis of the White Palm (I4)	30	AD&D1		
Aerial Servant (Haoou)					Generic	Monster Manual	6	AD&D1		
Aerial Servant (Haoou)					Generic	Monstrous Compendium Volume One		AD&D2		
Aerial Servant (Haoou)					Planescape	Guide to the Ethereal Plane	60	AD&D2		
Aeserpent					Planescape	Planes of Conflict [Monstrous Supplement]	2	AD&D2		
Aeshma					Generic	Dragon #12	10	D&D?		
Afanc					Generic	Monstrous Compendium Annual Volume One 		AD&D2		
Afanc (Gawwar Samakat)					Al-Qadim	City of Delights 		AD&D2		
Afanc, Young					Generic	Monstrous Compendium Annual Volume One 		AD&D2		
African Beholder					Generic	Dragon #215	50	AD&D2		
Agarat					Mystara	Mystara Monstrous Compendium Appendix 	9	AD&D2		
Agarat, Greater					Mystara	Mystara Monstrous Compendium Appendix 	9	AD&D2		
Agares (Duke of Hell)					Generic	Dragon #75	32	AD&D1		
Agathion					Generic	Monster Manual II	9	AD&D1		
Agnath, electric					Generic	Dragon #176	84	AD&D2		
Agriotherium (savannah bear)					Generic	Dragon #167	16	AD&D2		
Agrutha					Generic	Dragon #268	82	AD&D2		
Agta (Demon)					Generic	Imagine #25	2	AD&D1		
Ahmoras					Dragonlance	Dungeon #22	48	AD&D1		
Ahuizotl					Forgotten Realms (Maztica)	Fires of Zatal (FMA1)	61	AD&D2		
Air Fish, Catfish					Generic	Polyhedron #69	23	AD&D2		
Air Fish, Goldfish					Generic	Polyhedron #69	23	AD&D2		
Air Fish, Neon					Generic	Polyhedron #69	23	AD&D2		
Air Fish, Piranha					Generic	Polyhedron #69	23	AD&D2		
Air Fish, Ray, sting					Generic	Polyhedron #69	23	AD&D2		
Air Fish, Shark					Generic	Polyhedron #69	23	AD&D2		
Air Fish, Trout					Generic	Polyhedron #69	23	AD&D2		
Air Maiden (Ukko's warrior)					Generic	Legends & Lore	57	AD&D1		
Air Sentinel					Generic	Monstrous Compendium Outer Planes Appendix		AD&D2		
Akah Manh					Generic	Dragon #12	10	D&D?		
Akikage					Ravenloft	Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness 	9	AD&D2		
Akikage, Ansasshia					Ravenloft	Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness 	9	AD&D2		
Al-Jahar (Dazzle)					Al-Qadim	City of Delights 		AD&D2		
Al-Jahar (Dazzle)					Generic	Monstrous Compendium Annual Volume One 		AD&D2		
Al-mi'raj					Generic	Monstrous Compendium Fiend Folio Appendix (MC14)		AD&D2		
Alaghi					Forgotten Realms	Monstrous Compendium Forgotten Realms Appendix (MC11)		AD&D2		
Alaghi					Generic	Monstrous Compendium Annual Volume Three	6	AD&D2		
Alaghi, Hermitic					Generic	Monstrous Compendium Annual Volume Three	6	AD&D2		
Alaghi, Sedentary					Generic	Monstrous Compendium Annual Volume Three	6	AD&D2		
Alan					Forgotten Realms (Oriental Adventures)	Kara-Tur: The Eastern Realms [Volume II]	114	AD&D1		
Albari					Spelljammer	Monstrous Compendium Spelljammer Appendix		AD&D2		
Albino Crocodile					Generic	Dragon #238	71	AD&D2		
Alchemy Plant					Spelljammer	Monstrous Compendium Spelljammer Appendix II		AD&D2		
Alcor					Generic	Dragon #101	41	AD&D1		
Aleax					Generic	Fiend Folio	11	AD&D1		
Aleax					Planescape	Planescape Campaign Setting [Monstrous Supplement]	2	AD&D2		
Algoid					Generic	Monstrous Compendium Fiend Folio Appendix (MC14)		AD&D2		
Alguduir, Adult					Forgotten Realms	Monstrous Compendium Forgotten Realms Appendix (MC11)		AD&D2		
Alguduir, Young					Forgotten Realms	Monstrous Compendium Forgotten Realms Appendix (MC11)		AD&D2		
Alhoon (Illithilich)					Forgotten Realms	Menzoberranzan [Book One: The City]	88	AD&D2		
Alhoon (Illithilich)					Generic	Monstrous Compendium Annual Volume Three	7	AD&D2		
Alhoon (Illithilich)					Generic	Illithiad	17	AD&D2		
Alhoons					Generic	Illithiad	87	AD&D2		
Alicorn					Generic	Dragon #190	91	AD&D2		
Allura					Spelljammer	Monstrous Compendium Spelljammer Appendix II		AD&D2		
Alocer (Duke of Hell)					Generic	Dragon #75	24	AD&D1		
Alothere					Birthright	Player's Secrets of Talinie	9	AD&D2		
Alp					Generic	Best of Dragon, Vol. II	60	D&D?		
Alp					Generic	Dragon #25	42	D&D?		
Alticamelus					Generic	Dragon #137	43	AD&D1		
Altraloths					Generic	Dragon Annual #2	104	AD&D2		
Alvenkin					Ravenloft	Shadow Rift	152	AD&D2		
Amakua					Generic	Dragon #20	27	D&D?		
Amazon					Generic	Dragon #43	29	AD&D1		
Ambelodon					Generic	Dragon #137	43	AD&D1		
Ambition					Generic	Dungeon #3	61	AD&D1		
Ambuchar Devayam/Tan Chin					Forgotten Realms (Horde)	Blood Charge (FRA3)	Cover	AD&D2		
Amduscias (Duke of Hell)					Generic	Dragon #75	19	AD&D1		
Amethyst Dragon					Generic	Best of Dragon Magazine, Vol. III	37	AD&D1		
Amethyst Dragon					Generic	Dragon #37	7	AD&D1		
Amiq Rasol					Al-Qadim	Corsairs of the Great Sea		AD&D2		
Amiq Rasol					Generic	Monstrous Compendium Annual Volume Two 	9	AD&D2		
Amiskwia					Generic	Dragon #204	41	AD&D2		
Amitok					Generic	Dragon #89 [Creature Catalog insert]	C-3	AD&D1		
Ammonite, Golden					Generic	Monstrous Compendium Annual Volume Four	6	AD&D2		
Ammut					Al-Qadim	Monstrous Compendium Al-Qadim Appendix (MC13)		AD&D2		
Amoeba					Generic	Dragon #111	32	AD&D1		
Amon (Duke of Hell)					Generic	Dragon #75	10	AD&D1		
Amphibian, Poisonous, Frog					Generic	Dragon #237	48	AD&D2		
Amphibian, Poisonous, Neotropical Toad					Generic	Dragon #237	48	AD&D2		
Amphicyon (bear dog)					Generic	Dragon #167	16	AD&D2		
Amphitere					Generic	Dragon #248	81	AD&D2		
An-Ur, the Wandering Death					Generic	Dragon #260	49	AD&D2		
Anaconda					Generic	Dragon #115	44	AD&D1		
Anadjiin					Spelljammer	Realmspace (SJR2)	80	AD&D2		
Anananngel					Generic	Best of Dragon, Vol. II	60	D&D?		
Anananngel					Generic	Dragon #25	42	D&D?		
Anancus (pike-tusked elephant)					Generic	Dragon #167	16	AD&D2		
Anatosaurus (Trachodon)					Generic	Dragon #55	16	AD&D1		
Ancestors					Generic	Shaman 	81	AD&D2		
Ancient Mariner					Spelljammer	Monstrous Compendium Spelljammer Appendix		AD&D2		
Ancient Vrock, The Beast					Generic	Dungeon #25	16	AD&D2		
Andeloid					Spelljammer	Dragon #159	31	AD&D2		
Andrewsarchus (giant long-jawed hyena)					Generic	Dragon #167	17	AD&D2		
Android					Greyhawk	Expedition to the Barrier Peaks (S3)	28	AD&D1		
Android (Standard Model)					Greyhawk	Realms of Horror (S1-4)	41	AD&D1		
Android (boxer)					Greyhawk	Realms of Horror (S1-4)	42	AD&D1		
Android (fencer)					Greyhawk	Realms of Horror (S1-4)	42	AD&D1		
Android (karate)					Greyhawk	Realms of Horror (S1-4)	42	AD&D1		
Anemone, Giant					Dragonlance	Monstrous Compendium Dragonlance Appendix (MC4)		AD&D2		
Anemone, Giant					Dragonlance	Tales of the Lance [World Book of Ansalon]	140	AD&D2		
Anemone, Giant Sea					Generic	Monstrous Compendium Annual Volume Four	7	AD&D2		
Angel of Healing					Generic	Dragon #17	33	D&D?		
Angel of Wrath					Generic	Dragon #17	33	D&D?		
Angels of the Ninth Order					Generic	Dragon #35	43	AD&D1		
Angler Fish					Generic	Dragon #235	46	AD&D2		
Angreden					Generic	Dragon #198	23	AD&D2		
Anguiliian					Generic	Sea Devils	95	AD&D2		
Angur-Bado (giantess-witch) "distress bringer"					Generic	Dragon #110	16	AD&D1		
Anhkheg					Generic	Monster Manual	6	AD&D1		
Animal Lord, Cat Lord					Generic	Monstrous Compendium Outer Planes Appendix		AD&D2		
Animal Lord, Cat Lord					Planescape	Planescape Monstrous Compendium Appendix 	12	AD&D2		
Animal Lord, Hawk Lord					Generic	Monstrous Compendium Outer Planes Appendix		AD&D2		
Animal Lord, Hawk Lord					Planescape	Planescape Monstrous Compendium Appendix 	12	AD&D2		
Animal Lord, Lizard Lord					Planescape	Planescape Monstrous Compendium Appendix 	12	AD&D2		
Animal Lord, Wolf Lord					Generic	Monstrous Compendium Outer Planes Appendix		AD&D2		
Animal Lord, Wolf Lord					Planescape	Planescape Monstrous Compendium Appendix 	12	AD&D2		
Animal Skeletons					Generic	Dragon #66	57	AD&D1		
Animal, Domestic, Aprig					Dark Sun	Dark Sun Monstrous Compendium Appendix II: Terrors Beyond Tyr 	10	AD&D2		
Animal, Domestic, Carru					Dark Sun	Dark Sun Monstrous Compendium Appendix II: Terrors Beyond Tyr 	10	AD&D2		
Animal, Domestic, Erdlu					Dark Sun	Dark Sun Boxed Set [The Wanderer's Journal]	85	AD&D2		
Animal, Domestic, Erdlu					Dark Sun	Dark Sun Campaign Setting Expanded and Revised [The Wanderer's Chronicle]	123	AD&D2		
Animal, Domestic, Inix					Dark Sun	Dark Sun Boxed Set [The Wanderer's Journal]	85	AD&D2		
Animal, Domestic, Inix					Dark Sun	Dark Sun Campaign Setting Expanded and Revised [The Wanderer's Chronicle]	123	AD&D2		
Animal, Domestic, Kank					Dark Sun	Dark Sun Boxed Set [The Wanderer's Journal]	85	AD&D2		
Animal, Domestic, Kank					Dark Sun	Dark Sun Campaign Setting Expanded and Revised [The Wanderer's Chronicle]	124	AD&D2		
Animal, Domestic, Mekillot					Dark Sun	Dark Sun Boxed Set [The Wanderer's Journal]	85	AD&D2		
Animal, Domestic, Mekillot					Dark Sun	Dark Sun Campaign Setting Expanded and Revised [The Wanderer's Chronicle]	124	AD&D2		
Animal, Domestic, Mulworm					Dark Sun	Dark Sun Monstrous Compendium Appendix II: Terrors Beyond Tyr 	10	AD&D2		
Animal, Domestic, Sygra					Dark Sun	Dark Sun Monstrous Compendium Appendix II: Terrors Beyond Tyr 	10	AD&D2		
Animal, Herd, Antelope					Generic	Monstrous Compendium Volume One		AD&D2		
Animal, Herd, Buffalo					Generic	Monstrous Compendium Volume One		AD&D2		
Animal, Herd, Camel					Generic	Monstrous Compendium Volume One		AD&D2		
Animal, Herd, Cattle					Generic	Monstrous Compendium Volume One		AD&D2		
Animal, Herd, Jankz					Dark Sun	Monstrous Compendium Dark Sun Appendix: Terrors of the Desert		AD&D2		
Animal, Herd, Kip					Dark Sun	Monstrous Compendium Dark Sun Appendix: Terrors of the Desert		AD&D2		
Animal, Herd, Sheep					Generic	Monstrous Compendium Volume One		AD&D2		
Animal, Herd, Z'tal					Dark Sun	Monstrous Compendium Dark Sun Appendix: Terrors of the Desert		AD&D2		
Animal, Household, Critic					Dark Sun	Monstrous Compendium Dark Sun Appendix: Terrors of the Desert		AD&D2		
Animal, Household, Hurrum					Dark Sun	Monstrous Compendium Dark Sun Appendix: Terrors of the Desert		AD&D2		
Animal, Household, Ock'n					Dark Sun	Monstrous Compendium Dark Sun Appendix: Terrors of the Desert		AD&D2		
Animal, Household, Renk					Dark Sun	Monstrous Compendium Dark Sun Appendix: Terrors of the Desert		AD&D2		
Animated Carriage					Ravenloft	Dungeon #64	53	AD&D2		
Animated Furniture					Dragonlance	Polyhedron #114	6	AD&D2		
Animated Manacles					Dragonlance	Polyhedron #114	8	AD&D2		
Animated Pedestal					Forgotten Realms	Dungeon #71	54	AD&D2		
Animated Statues					Generic	Dungeon #31	42	AD&D2		
Animated Statues					Ravenloft (Gothic Earth)	Dungeon #71	78	AD&D2		
Animated Swords					Dragonlance	Polyhedron #114	6	AD&D2		
Animator, Common					Ravenloft	Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness 	12	AD&D2		
Animator, Greater					Ravenloft	Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness 	13	AD&D2		
Animator, Minor					Ravenloft	Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness 	11	AD&D2		
Animental					Planescape	Planescape Monstrous Compendium Appendix III	14	AD&D2		
Animental Bull					Generic	Tales of the Outer Planes (OP1)	22	AD&D1		
Animental Mastiffs					Generic	Tales of the Outer Planes (OP1)	22	AD&D1		
Animental Polar Bear					Generic	Tales of the Outer Planes (OP1)	22	AD&D1		
Animental Squirrel					Generic	Tales of the Outer Planes (OP1)	32	AD&D1		
Animus					Greyhawk	From the Ashes 		AD&D2		
Ankheg					Dark Sun	Black Spine [Adventure Book Three]	65	AD&D2		
Ankheg					Generic	Monstrous Compendium Volume Two		AD&D2		
Ankheg					Generic	Monstrous Manual 	7	AD&D2		
Ankheg					Generic	Dragon #5	12	D&D?		
Ankheg, Egg					Forgotten Realms	Elminster's Ecologies [The Settled Lands]	19	AD&D2		
Ankheg, Larva					Forgotten Realms	Elminster's Ecologies [The Settled Lands]	19	AD&D2		
Ankheg, Nymph					Forgotten Realms	Elminster's Ecologies [The Settled Lands]	19	AD&D2		
Ankou					Generic	Dragon #162	54	AD&D2		
Ankylosaurus					Generic	Dragon #55	16	AD&D1		
Annihilator (heavy attack hovercraft)					Generic	Tale of the Comet [Book 1: The Cast and Props]	30	AD&D2		
Annis					Generic	Monster Manual II	9	AD&D1		
Annis					Greyhawk	Forgotten Temple of Tharizdun (WG4)	31	AD&D1		
Anomalocaris					Generic	Dragon #204	43	AD&D2		
Ant Lion					Generic	Monster Manual II	10	AD&D1		
Ant Lion, Giant					Generic	Monstrous Compendium Volume Two		AD&D2		
Ant, Giant					Generic	Monster Manual	7	AD&D1		
Ant, Giant, Warrior					Generic	Complete Starter Set [Monstrous Manual]	3	AD&D2		
Ant, Giant, Warrior					Generic	First Quest: The Introduction to the AD&D Game [Monsters & Treasures Book]	3	AD&D2		
Ant, Giant, Warrior					Generic	Introduction to Advanced Dungeons & Dragons Game [Monstrous Manual Accessory]	3	AD&D2		
Ant, Giant, Warrior					Generic	Monstrous Compendium Volume Two		AD&D2		
Ant, Giant, Worker					Generic	Complete Starter Set [Monstrous Manual]	3	AD&D2		
Ant, Giant, Worker					Generic	First Quest: The Introduction to the AD&D Game [Monsters & Treasures Book]	3	AD&D2		
Ant, Giant, Worker					Generic	Introduction to Advanced Dungeons & Dragons Game [Monstrous Manual Accessory]	3	AD&D2		
Ant, Giant, Worker					Generic	Monstrous Compendium Volume Two		AD&D2		
Ant, Swarm					Generic	Monstrous Compendium Volume Two		AD&D2		
Antaeus (giant)					Generic	Deities and Demigods Cyclopedia	64	AD&D1		
Antaeus (giant)					Generic	Legends & Lore	59	AD&D1		
Antelope, Large					Generic	Dragon #137	10	AD&D1		
Antelope, Medium					Generic	Dragon #137	10	AD&D1		
Antelope, Small					Generic	Dragon #137	10	AD&D1		
Antero Vipunen					Generic	Supplement IV: Gods, Demigods, Heroes	42	D&D1		
Anthraxus					Generic	Dragon Annual #2	104	AD&D2		
Antloid, Desert, Dynamis					Dark Sun	Monstrous Compendium Dark Sun Appendix: Terrors of the Desert		AD&D2		
Antloid, Desert, Queen					Dark Sun	Monstrous Compendium Dark Sun Appendix: Terrors of the Desert		AD&D2		
Antloid, Desert, Soldier					Dark Sun	Monstrous Compendium Dark Sun Appendix: Terrors of the Desert		AD&D2		
Antloid, Desert, Worker					Dark Sun	Monstrous Compendium Dark Sun Appendix: Terrors of the Desert		AD&D2		
Antold					Generic	Dragon #32	16	AD&D1		
Anuchu					Generic	Dragon #119	46	AD&D1		
Aoskian Hound					Planescape	In the Cage: A Guide to Sigil	6	AD&D2		
Ape (Gorilla)					Generic	Monster Manual	7	AD&D1		
Ape, Carnivorous					Generic	Monster Manual	7	AD&D1		
Ape, Carnivorous					Generic	Monstrous Compendium Volume Two		AD&D2		
Ape, Gargantuan, Oonga					Greyhawk	Isle of the Ape (WG6)	46	AD&D1		
Ape, Gargantuan, The Others					Greyhawk	Isle of the Ape (WG6)	46	AD&D1		
Ape, Giant					Generic	Adventure Pack I (I13)	90	AD&D1		
Apep (king of serpents)					Generic	Deities and Demigods Cyclopedia	50	AD&D1		
Apep (king of serpents)					Generic	Legends & Lore	45	AD&D1		
Aperusa					Spelljammer	Monstrous Compendium Spelljammer Appendix II		AD&D2		
Apocalypse					Birthright	Blood Enemies: Abominations of Cerilia 	6	AD&D2		
Apodalypse					Generic	Night of the Shark	31	AD&D2		
Apodalypse, Progeny					Generic	Night of the Shark	31	AD&D2		
Apollyon					Generic	Dragon #42	7	AD&D1		
Apparition					Generic	Fiend Folio	12	AD&D1		
Apparition					Generic	Monstrous Compendium Fiend Folio Appendix (MC14)		AD&D2		
Apparition					Planescape	Guide to the Ethereal Plane	60	AD&D2		
Aquatic Jelly					Generic	Dungeon #70	23	AD&D2		
Aquatic Lernaean Hydra					Generic	Axe of the Dwarvish Lords	190	AD&D2		
Aquatic Lernaean Hydra, Lake Radruundar Monster					Generic	Axe of the Dwarvish Lords	190	AD&D2		
Arack					Generic	Dragon #74	12	AD&D1		
Arak, Alven					Ravenloft	Shadow Rift	142	AD&D2		
Arak, Brag					Ravenloft	Shadow Rift	143	AD&D2		
Arak, Fir					Ravenloft	Shadow Rift	144	AD&D2		
Arak, Muryan (Dancing Men)					Ravenloft	Shadow Rift	145	AD&D2		
Arak, Portune					Ravenloft	Shadow Rift	146	AD&D2		
Arak, Powrie (Redcaps)					Ravenloft	Shadow Rift	147	AD&D2		
Arak, Shee					Ravenloft	Shadow Rift	148	AD&D2		
Arak, Sith					Ravenloft	Shadow Rift	149	AD&D2		
Arak, Teg					Ravenloft	Shadow Rift	150	AD&D2		
Aranea					Generic	Monstrous Compendium Annual Volume Three	8	AD&D2		
Aranea					Red Steel	Red Steel Campaign Expansion [Campaign Book]	120	AD&D2		
Aranea					Savage Coast	Savage Coast Monstrous Compendium Appendix		AD&D2		
Arashaeem					Savage Coast	Savage Coast Monstrous Compendium Appendix		AD&D2		
Aratha ("Killer Beetle")					Forgotten Realms	Ruins of Myth Drannor		AD&D2		
Arayashka (Snow Wraith)					Ravenloft	Dark of the Moon 	62	AD&D2		
Arcadian Pony					Planescape	In the Cage: A Guide to Sigil	75	AD&D2		
Arcane					Generic	Monstrous Manual 	8	AD&D2		
Arcane					Planescape	Planescape Monstrous Compendium Appendix II 	10	AD&D2		
Arcane					Spelljammer	Spelljammer: AD&D Adventures in Space [Lorebook of the Void]	67	AD&D2		
Arcane Heads					Ravenloft	Nightmare Lands [Monstrous Supplement]	2	AD&D2		
Arcane Illithid					Generic	Illithiad	86	AD&D2		
Arcane Illithids					Generic	Illithiad	14	AD&D2		
Arcanosheen					Generic	Dragon #270	35	AD&D2		
Arch-Shadow					Forgotten Realms	Return of Randal Morn	30	AD&D2		
Arch-Shadow					Forgotten Realms	Secret of Spiderhaunt	26	AD&D2		
Arch-Shadow					Generic	Monstrous Compendium Annual Volume Two 	10	AD&D2		
Arch-Shadow, Demi-Shade					Forgotten Realms	Return of Randal Morn	30	AD&D2		
Arch-Shadow, Demi-Shade					Forgotten Realms	Secret of Spiderhaunt	26	AD&D2		
Arch-Shadow, Demi-Shade					Generic	Monstrous Compendium Annual Volume Two 	10	AD&D2		
Archangel of Mercy					Generic	Dragon #17	33	D&D?		
Archangels					Generic	Dragon #35	43	AD&D1		
Archer					Generic	Dragon #223	21	AD&D2		
Archer Frog					Generic	Dragon #247	89	AD&D2		
Archomental (Evil), Cryonax					Planescape	Planescape Monstrous Compendium Appendix III	16	AD&D2		
Archomental (Evil), Imix					Planescape	Planescape Monstrous Compendium Appendix III	16	AD&D2		
Archomental (Evil), Ogremoch					Planescape	Planescape Monstrous Compendium Appendix III	16	AD&D2		
Archomental (Evil), Olhydra					Planescape	Planescape Monstrous Compendium Appendix III	16	AD&D2		
Archomental (Evil), Yan-C-Bin					Planescape	Planescape Monstrous Compendium Appendix III	16	AD&D2		
Archomental (Good), Ben-Hadar					Planescape	Planescape Monstrous Compendium Appendix III	20	AD&D2		
Archomental (Good), Chan					Planescape	Planescape Monstrous Compendium Appendix III	20	AD&D2		
Archomental (Good), Sunnis					Planescape	Planescape Monstrous Compendium Appendix III	20	AD&D2		
Archomental (Good), Zaaman Rul					Planescape	Planescape Monstrous Compendium Appendix III	20	AD&D2		
Archon, Fallen					Planescape	Planes of Law [Monstrous Supplement]	9	AD&D2		
Archon, Hound					Generic	Monstrous Compendium Outer Planes Appendix		AD&D2		
Archon, Hound					Planescape	Planes of Law [Monstrous Supplement]	4	AD&D2		
Archon, Lantern					Generic	Monstrous Compendium Outer Planes Appendix		AD&D2		
Archon, Lantern					Planescape	Planes of Law [Monstrous Supplement]	4	AD&D2		
Archon, Sword					Generic	Monstrous Compendium Outer Planes Appendix		AD&D2		
Archon, Sword					Planescape	Planes of Law [Monstrous Supplement]	4	AD&D2		
Archon, Throne					Planescape	Planes of Law [Monstrous Supplement]	4	AD&D2		
Archon, Tome					Generic	Monstrous Compendium Outer Planes Appendix		AD&D2		
Archon, Tome					Planescape	Planes of Law [Monstrous Supplement]	4	AD&D2		
Archon, Trumpet					Planescape	Planes of Law [Monstrous Supplement]	4	AD&D2		
Archon, Warden					Generic	Monstrous Compendium Outer Planes Appendix		AD&D2		
Archon, Warden					Planescape	Planes of Law [Monstrous Supplement]	4	AD&D2		
Arctic Wyvern					Generic	Dungeon #78	70	AD&D2		
Arctic Wyvern, Young					Generic	Dungeon #78	70	AD&D2		
Arctic owlbear					Generic	Dragon #214	90	AD&D2		
Arctigis, Huge, Ancient White Dragon					Forgotten Realms	Throne of Bloodstone (H4)	15	AD&D1		
Ardvi Sura Anahita					Generic	Dragon #12	9	D&D?		
Argas					Generic	Dragon #53	52	AD&D1		
Argos					Generic	Monstrous Manual 	9	AD&D2		
Argos					Spelljammer	Monstrous Compendium Spelljammer Appendix		AD&D2		
Arid Bloodthorn					Jakandor	Jakandor, Land of Legend	142	AD&D2		
Arioch (Duke of Hell)					Generic	Dragon #75	22	AD&D1		
Arkos Seatamer, Wereeel					Generic	Dungeon #66	22	AD&D2		
Armadillephant					Generic	Dragon #243	76	AD&D2		
Armaiti					Generic	Dragon #12	8	D&D?		
Armaros (Greater Devil)					Generic	Dragon #91	19	AD&D1		
Armmegh					Generic	Polyhedron #58	8	AD&D2		
